stop_id,stop_name,stop_lat,stop_lon
jain_merchant_society,Jain Merchant Society,23.009013,72.56146
mahalakshmi_society,Mahalakshmi Society,23.011354,72.563015
paldi,Paldi,23.014111,72.564877
pritamnagar,Pritamnagar,23.0167,72.5672
arvind_sales_emporium,Arvind Sales Emporium,,
congress_bhavan,Congress Bhavan,,
v_s_hospital,V.S. Hospital,23.0212,72.5709
sanyas_ashram,Sanyas Ashram,23.0242,72.5712
gandhigram_railway_station,Gandhigram Railway Station,23.0258,72.5711
nataraj_cinema,Nataraj Cinema,23.0288,72.5706
vallabhsadan,Vallabhsadan,,
mill_owners_association,Mill Owners Association,23.0326,72.57
gujarat_vidyapith,Gujarat Vidyapith,23.0436,72.5697
usmanpura,Usmanpura,23.047594,72.570668
champaner_society,Champaner Society,23.0508,72.5713
chandrabhaga_bridge,Chandrabhaga Bridge,,
ranip_st_bus_stand,Ranip ST Bus Stand,,
rto_circle,RTO Circle,,
power_house,Power House,23.073269,72.591839
power_house_staff_quarters,Power House Staff Quarters,23.0762,72.5946
municipal_snanagar,Municipal Snanagar (Sabarmati),,
chintamani_society,Chintamani Society,23.0841,72.5924
abu_koba_cross_road,Abu-Koba Cross Road,,
acher_depot,Acher Depot,23.089758,72.590632
lakshminagar,Lakshminagar,23.0952,72.5891
motera_road,Motera Road,23.1049,72.6029
o_n_g_c_office,O.N.G.C. Office,,
parshwanathnagar,Parshwanathnagar,23.1079,72.5851
shivshakti_nagar,Shivshakti Nagar (Chandkheda),23.1106,72.5842
chandkheda_gam,Chandkheda Gam,23.115001,72.582056
satyamev_hospital,Satyamev Hospital,,
prahlad_park,Prahlad Park,,
dewangi_bungalow,Dewangi Bungalow,,
suryan_hope_town,Suryan Hope Town,,
kumkum_residency,Kumkum Residency,,
shyam_satya,Shyam Satya,,
chandkheda,Chandkheda (Sarthi Bunglows),23.1163,72.5827
lal_darwaja,Lal Darwaja,23.024717,72.578627
sardarbag,Sardarbag,,
madalpur,Madalpur (Town Hall),,
gujarat_college,Gujarat College,23.022565,72.56688
hope_nuro_care_hospital,Hope Nuro Care Hospital,,
university_granth_nirman_board,University Granth Nirman Board,,
law_college,Law College,23.02382,72.559633
panchvati,Panchvati,23.028,72.556
c_n_vidyalay,C.N. Vidyalay,23.0211,72.5527
exise_chowki,Exise Chowki (Cn),23.06295,72.641239
snehkunj,Snehkunj,23.021898,72.546942
manekbag_society,Manekbag Society,23.0173,72.5428
haridas_park,Haridas Park,23.023025,72.536304
umiya_vijay_society,Umiya Vijay Society,23.024319,72.532416
shivranjni_society,Shivranjni Society,23.022902,72.530164
jodhpur_road,Jodhpur Road,23.025255,72.527096
swami_vivekanand_flats,Swami Vivekanand Flats,23.023745,72.526007
shubhda_colony,Shubhda Colony,23.020756,72.52532
panchgini_society,Panchgini Society,,
jodhpur_gam,Jodhpur Gam,23.017444,72.522872
kesar_party_plot,Kesar Party Plot,,
kanakkala_flats,Kanakkala Flats (Seema Hall),23.013187,72.519322
sarjan_complex,Sarjan Complex (Madhur Hall),23.012731,72.515337
nilkanth_bunglows,Nilkanth Bunglows,,
prahladnagar_garden,Prahladnagar Garden,23.012,72.5062
prahladnagar_cross_road,Prahladnagar Cross Road,23.0114,72.5025
y_m_c_a_club_char_rasta,Y.M.C.A Club Char Rasta,,
nirma_farm,Nirma Farm,,
mumtpura_cross_road,Mumtpura Cross Road,,
kalarav_farm,Kalarav Farm,,
shivam_auto_mall,Shivam Auto Mall,,
under_bridge,Under Bridge (Kaka Ka Dhaba),,
bhairavnath_way_bridge,Bhairavnath Way Bridge,,
saanket_bunglows_1,Saanket Bunglows-1,,
orachid_sky,Orachid Sky,,
aaviskar_circle,Aaviskar Circle,,
sky_city,Sky City,,
aakash_residency,Aakash Residency,,
samtav_bunglows,Samtav Bunglows,,
maher_street,Maher Street (Club O Seven),,
sakar_county,Sakar County,,
bopal_sanand_cross_road,Bopal-Sanand Cross Road,,
orachid_wally,Orachid Wally,,
shela_telav_cross_road,Shela-Telav Cross Road,,
shela_gam,Shela Gam,,
thaltej_gam,Thaltej Gam,23.05031,72.511033
vinay_vidya_mandir,Vinay Vidya Mandir,23.0524,72.5182
shree_naran_dham,Shree Naran Dham,,
muktidham_jain_derasar,Muktidham Jain Derasar,,
hebatpur_cross_road,Hebatpur Cross Road,,
shantinath_mahadev,Shantinath Mahadev (Jay Ambenagar),23.050079,72.518457
ayna_complex,Ayna Complex,,
sal_hospital,Sal Hospital,23.048942,72.523514
suvarna_bunglows,Suvarna Bunglows,,
surdhara_bunglows,Surdhara Bunglows,23.051651,72.525134
ganesh_corporate_house,Ganesh Corporate House,,
surdhara_circle,Surdhara Circle,23.052967,72.525405
